,Codi_Districte,Nom_Districte,Índex RFD Barcelona = 100,Nom_Barri,Codi_Barri,Població,_id,Any
0,1,Ciutat Vella,62.6,el Raval,1,47431,1,2008
1,1,Ciutat Vella,80.8,el Barri Gòtic,2,25556,2,2008
2,1,Ciutat Vella,65.9,la Barceloneta,3,16000,3,2008
3,1,Ciutat Vella,81.8,"Sant Pere, Santa Caterina i la Ribera",4,22649,4,2008
4,2,Eixample,108.3,el Fort Pienc,5,32167,5,2008
5,2,Eixample,100.7,la Sagrada Família,6,52593,6,2008
6,2,Eixample,138.0,la Dreta de l'Eixample,7,42793,7,2008
7,2,Eixample,122.8,l'Antiga Esquerra de l'Eixample,8,41654,8,2008
8,2,Eixample,116.6,la Nova Esquerra de l'Eixample,9,58412,9,2008
9,2,Eixample,102.9,Sant Antoni,10,38247,10,2008
10,3,Sants-Montjuïc,70.8,el Poble Sec,11,40381,11,2008
11,3,Sants-Montjuïc,77.2,la Marina del Prat Vermell,12,1226,12,2008
12,3,Sants-Montjuïc,77.4,la Marina de Port,13,29618,13,2008
13,3,Sants-Montjuïc,91.7,la Font de la Guatlla,14,10181,14,2008
14,3,Sants-Montjuïc,82.5,Hostafrancs,15,15871,15,2008
15,3,Sants-Montjuïc,80.8,la Bordeta,16,18601,16,2008
16,3,Sants-Montjuïc,84.5,Sants - Badal,17,24274,17,2008
17,3,Sants-Montjuïc,87.1,Sants,18,41280,18,2008
18,4,Les Corts,131.7,les Corts,19,47101,19,2008
19,4,Les Corts,129.8,la Maternitat i Sant Ramon,20,23845,20,2008
20,4,Les Corts,194.7,Pedralbes,21,11543,21,2008
21,5,Sarrià-Sant Gervasi,165.6,"Vallvidrera, el Tibidabo i les Planes",22,4153,22,2008
22,5,Sarrià-Sant Gervasi,172.4,Sarrià,23,23348,23,2008
23,5,Sarrià-Sant Gervasi,214.7,les Tres Torres,24,15410,24,2008
24,5,Sarrià-Sant Gervasi,177.5,Sant Gervasi - la Bonanova,25,23713,25,2008
25,5,Sarrià-Sant Gervasi,187.1,Sant Gervasi - Galvany,26,46517,26,2008
26,5,Sarrià-Sant Gervasi,149.1,el Putxet i el Farró,27,29524,27,2008
27,6,Gràcia,111.9,Vallcarca i els Penitents,28,15458,28,2008
28,6,Gràcia,90.2,el Coll,29,7307,29,2008
29,6,Gràcia,111.0,la Salut,30,13166,30,2008
30,6,Gràcia,100.7,la Vila de Gràcia,31,51426,31,2008
31,6,Gràcia,102.6,el Camp d'en Grassot i Gràcia Nova,32,34731,32,2008
32,7,Horta-Guinardó,96.4,el Baix Guinardó,33,26012,33,2008
33,7,Horta-Guinardó,83.7,Can Baró,34,9084,34,2008
34,7,Horta-Guinardó,92.2,el Guinardó,35,35157,35,2008
35,7,Horta-Guinardó,107.7,la Font d'en Fargues,36,9638,36,2008
36,7,Horta-Guinardó,69.3,el Carmel,37,32879,37,2008
37,7,Horta-Guinardó,73.2,la Teixonera,38,11398,38,2008
38,7,Horta-Guinardó,86.8,Sant Genís dels Agudells,39,7140,39,2008
39,7,Horta-Guinardó,88.6,Montbau,40,5179,40,2008
40,7,Horta-Guinardó,98.0,la Vall d'Hebron,41,5556,41,2008
41,7,Horta-Guinardó,90.5,la Clota,42,462,42,2008
42,7,Horta-Guinardó,87.5,Horta,43,27922,43,2008
43,8,Nou Barris,81.7,Vilapicina i la Torre Llobeta,44,25271,44,2008
44,8,Nou Barris,74.2,Porta,45,23603,45,2008
45,8,Nou Barris,65.0,el Turó de la Peira,46,15848,46,2008
46,8,Nou Barris,52.8,Can Peguera,47,2155,47,2008
47,8,Nou Barris,82.0,la Guineueta,48,15426,48,2008
48,8,Nou Barris,75.4,Canyelles,49,7482,49,2008
49,8,Nou Barris,60.3,les Roquetes,50,15970,50,2008
50,8,Nou Barris,61.9,Verdun,51,12400,51,2008
51,8,Nou Barris,72.5,la Prosperitat,52,26637,52,2008
52,8,Nou Barris,52.5,la Trinitat Nova,53,8056,53,2008
53,8,Nou Barris,62.1,Torre Baró,54,2120,54,2008
54,8,Nou Barris,58.8,Ciutat Meridiana,55,11145,55,2008
55,8,Nou Barris,59.6,Vallbona,56,1320,56,2008
56,9,Sant Andreu,76.4,la Trinitat Vella,57,10237,57,2008
57,9,Sant Andreu,49.9,Baró de Viver,58,2452,58,2008
58,9,Sant Andreu,64.8,el Bon Pastor,59,12990,59,2008
59,9,Sant Andreu,84.1,Sant Andreu,60,55638,60,2008
60,9,Sant Andreu,85.3,la Sagrera,61,28734,61,2008
61,9,Sant Andreu,83.6,el Congrés i els Indians,62,13820,62,2008
62,9,Sant Andreu,91.0,Navas,63,21572,63,2008
63,10,Sant Martí,92.4,el Camp de l'Arpa del Clot,64,38738,64,2008
64,10,Sant Martí,89.0,el Clot,65,27121,65,2008
65,10,Sant Martí,106.2,el Parc i la Llacuna del Poblenou,66,13175,66,2008
66,10,Sant Martí,133.3,la Vila Olímpica del Poblenou,67,8935,67,2008
67,10,Sant Martí,93.6,el Poblenou,68,30624,68,2008
68,10,Sant Martí,104.4,Diagonal Mar i el Front Marítim del Poblenou,69,9921,69,2008
69,10,Sant Martí,61.1,el Besòs i el Maresme,70,23557,70,2008
70,10,Sant Martí,85.1,Provençals del Poblenou,71,18556,71,2008
71,10,Sant Martí,80.3,Sant Martí de Provençals,72,26199,72,2008
72,10,Sant Martí,74.3,la Verneda i la Pau,73,29603,73,2008
